language,feature_id,layer,source_keyword,explanation,rank,pk_id,verse_ref,score,raw_text
cuv,1041,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,2,1KI-010-007,1 Kings 10:7,0.63712317,我 先 不 信 那 些 话 ， 及 至 我 来 亲 眼 见 了 才 知 道 人 所 告 诉 我 的 还 不 到 一 半 。 你 的 智 慧 和 你 的 福 分 越 过 我 所 听 见 的 风 声 。
cuv,1041,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,3,2CO-002-003,2 Corinthians 2:3,0.6369283,我 曾 把 这 事 写 给 你 们 ， 恐 怕 我 到 的 时 候 ， 应 该 叫 我 快 乐 的 那 些 人 ， 反 倒 叫 我 忧 愁 。 我 也 深 信 ， 你 们 众 人 都 以 我 的 快 乐 为 自 己 的 快 乐 。
cuv,1041,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,4,2CO-007-004,2 Corinthians 7:4,0.6344163,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,1041,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,5,2KI-005-026,2 Kings 5:26,0.63127196,以 利 沙 对 他 说 ： 那 人 下 车 转 回 迎 你 的 时 候 ， 我 的 心 岂 没 有 去 呢 ？ 这 岂 是 受 银 子 、 衣 裳 、 买 橄 榄 园 、 葡 萄 园 、 牛 羊 、 仆 婢 的 时 候 呢 ？
cuv,10516,4-llamascope-res-32k,feeling,expressions of emotions and feelings,1,2CO-007-004,2 Corinthians 7:4,0.63341576,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,10516,4-llamascope-res-32k,feeling,expressions of emotions and feelings,2,ROM-001-029,Romans 1:29,0.63056374,装 满 了 各 样 不 义 、 邪 恶 、 贪 婪 、 恶 毒 （ 或 作 ： 阴 毒 ） ， 满 心 是 嫉 妒 、 凶 杀 、 争 竞 、 诡 诈 、 毒 恨 ；
cuv,10516,4-llamascope-res-32k,feeling,expressions of emotions and feelings,3,2CO-007-011,2 Corinthians 7:11,0.6300026,你 看 ， 你 们 依 着 神 的 意 思 忧 愁 ， 从 此 就 生 出 何 等 的 ? ? 、 自 诉 、 自 恨 、 恐 惧 、 想 念 、 热 心 、 责 罚 （ 或 作 ： 自 责 ） 。 在 这 一 切 事 上 ， 你 们 都 表 明 自 己 是 洁 净 的 。
cuv,10516,4-llamascope-res-32k,feeling,expressions of emotions and feelings,4,ROM-003-002,Romans 3:2,0.6279976,凡 事 大 有 好 处 ： 第 一 是 神 的 圣 言 交 托 他 们 。
cuv,10516,4-llamascope-res-32k,feeling,expressions of emotions and feelings,5,ECC-003-004,Ecclesiastes 3:4,0.6273709,哭 有 时 ， 笑 有 时 ； 哀 恸 有 时 ， 跳 舞 有 时 ；
cuv,10541,8-llamascope-res-32k,feeling, expressions of emotions and feelings,1,JOS-010-002,Joshua 10:2,0.57297456,就 甚 惧 怕 ； 因 为 基 遍 是 一 座 大 城 ， 如 都 城 一 般 ， 比 艾 城 更 大 ， 并 且 城 内 的 人 都 是 勇 士 。
cuv,10541,8-llamascope-res-32k,feeling, expressions of emotions and feelings,2,EXO-015-009,Exodus 15:9,0.56965435,仇 敌 说 ： 我 要 追 赶 ， 我 要 追 上 ； 我 要 分 掳 物 ， 我 要 在 他 们 身 上 称 我 的 心 愿 。 我 要 拔 出 刀 来 ， 亲 手 杀 灭 他 们 。
cuv,10541,8-llamascope-res-32k,feeling, expressions of emotions and feelings,3,JDG-018-009,Judges 18:9,0.56775725,他 们 回 答 说 ： 起 来 ， 我 们 上 去 攻 击 他 们 罢 ！ 我 们 已 经 窥 探 那 地 ， 见 那 地 甚 好 。 你 们 为 何 静 坐 不 动 呢 ？ 要 急 速 前 往 得 那 地 为 业 ， 不 可 迟 延 。
cuv,10541,8-llamascope-res-32k,feeling, expressions of emotions and feelings,4,1SA-014-006,1 Samuel 14:6,0.56629944,约 拿 单 对 拿 兵 器 的 少 年 人 说 ： 我 们 不 如 过 到 未 受 割 礼 人 的 防 营 那 里 去 ， 或 者 耶 和 华 为 我 们 施 展 能 力 ； 因 为 耶 和 华 使 人 得 胜 ， 不 在 乎 人 多 人 少 。
cuv,10541,8-llamascope-res-32k,feeling, expressions of emotions and feelings,5,EXO-016-005,Exodus 16:5,0.564602,到 第 六 天 ， 他 们 要 把 所 收 进 来 的 预 备 好 了 ， 比 每 天 所 收 的 多 一 倍 。
cuv,1069,9-llamascope-res-32k,feeling, words related to emotions or states of being,1,NUM-031-030,Numbers 31:30,0.5873282,从 以 色 列 人 的 一 半 之 中 ， 就 是 从 人 口 、 牛 、 驴 、 羊 群 、 各 样 牲 畜 中 ， 每 五 十 取 一 ， 交 给 看 守 耶 和 华 帐 幕 的 利 未 人 。
cuv,1069,9-llamascope-res-32k,feeling, words related to emotions or states of being,2,AMO-005-001,Amos 5:1,0.5842383,以 色 列 家 啊 ， 要 听 我 为 你 们 所 作 的 哀 歌 ：
cuv,1069,9-llamascope-res-32k,feeling, words related to emotions or states of being,3,JDG-005-009,Judges 5:9,0.57259023,我 心 倾 向 以 色 列 的 首 领 ， 他 们 在 民 中 甘 心 牺 牲 自 己 。 你 们 应 当 颂 赞 耶 和 华 ！
cuv,1069,9-llamascope-res-32k,feeling, words related to emotions or states of being,4,RUT-004-007,Ruth 4:7,0.57093185,从 前 ， 在 以 色 列 中 要 定 夺 甚 麽 事 ， 或 赎 回 ， 或 交 易 ， 这 人 就 脱 鞋 给 那 人 。 以 色 列 人 都 以 此 为 证 据 。
cuv,1069,9-llamascope-res-32k,feeling, words related to emotions or states of being,5,1KI-001-012,1 Kings 1:12,0.57005477,现 在 我 可 以 给 你 出 个 主 意 ， 好 保 全 你 和 你 儿 子 所 罗 门 的 性 命 。
cuv,10690,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,1,PSA-026-012,Psalms 26:12,0.5773938,我 的 脚 站 在 平 坦 地 方 ； 在 众 会 中 我 要 称 颂 耶 和 华 ！
cuv,10690,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,2,PSA-107-032,Psalms 107:32,0.5737449,愿 他 们 在 民 的 会 中 尊 崇 他 ， 在 长 老 的 位 上 赞 美 他 ！
cuv,10690,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,3,1SA-012-007,1 Samuel 12:7,0.56930536,现 在 你 们 要 站 住 ， 等 我 在 耶 和 华 面 前 对 你 们 讲 论 耶 和 华 向 你 们 和 你 们 列 祖 所 行 一 切 公 义 的 事 。
cuv,10690,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,4,ISA-037-030,Isaiah 37:30,0.5684969,以 色 列 人 哪 ， 我 赐 你 们 一 个 证 据 ： 你 们 今 年 要 吃 自 生 的 ， 明 年 也 要 吃 自 长 的 ， 至 於 後 年 ， 你 们 要 耕 种 收 割 ， 栽 植 葡 萄 园 ， 吃 其 中 的 果 子 。
cuv,10690,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,5,PSA-069-017,Psalms 69:17,0.56742513,不 要 掩 面 不 顾 你 的 仆 人 ； 我 是 在 急 难 之 中 ， 求 你 速 速 地 应 允 我 ！
cuv,10844,17-llamascope-res-32k,feeling,expressions of feelings and emotions,1,2JN-001-012,2 John 1:12,0.6291829,我 还 有 许 多 事 要 写 给 你 们 ， 却 不 愿 意 用 纸 墨 写 出 来 ， 但 盼 望 到 你 们 那 里 ， 与 你 们 当 面 谈 论 ， 使 你 们 的 喜 乐 满 足 。
cuv,10844,17-llamascope-res-32k,feeling,expressions of feelings and emotions,2,2CO-007-004,2 Corinthians 7:4,0.6280932,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,10844,17-llamascope-res-32k,feeling,expressions of feelings and emotions,3,2TI-001-004,2 Timothy 1:4,0.6190251,记 念 你 的 眼 泪 ， 昼 夜 切 切 的 想 要 见 你 ， 好 叫 我 满 心 快 乐 。
cuv,10844,17-llamascope-res-32k,feeling,expressions of feelings and emotions,4,PSA-031-002,Psalms 31:2,0.61645687,求 你 侧 耳 而 听 ， 快 快 救 我 ！ 作 我 坚 固 的 磐 石 ， 拯 救 我 的 保 障 ！
cuv,10844,17-llamascope-res-32k,feeling,expressions of feelings and emotions,5,1TH-002-017,1 Thessalonians 2:17,0.6155944,弟 兄 们 ， 我 们 暂 时 与 你 们 离 别 ， 是 面 目 离 别 ， 心 里 却 不 离 别 ； 我 们 极 力 的 想 法 子 ， 很 愿 意 见 你 们 的 面 。
cuv,1107,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,1,2TI-004-007,2 Timothy 4:7,0.62257534,那 美 好 的 仗 我 已 经 打 过 了 ， 当 跑 的 路 我 已 经 跑 尽 了 ， 所 信 的 道 我 已 经 守 住 了 。
cuv,1107,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,2,HEB-004-012,Hebrews 4:12,0.6112194,神 的 道 是 活 泼 的 ， 是 有 功 效 的 ， 比 一 切 两 刃 的 剑 更 快 ， 甚 至 魂 与 灵 ， 骨 节 与 骨 髓 ， 都 能 刺 入 、 剖 开 ， 连 心 中 的 思 念 和 主 意 都 能 辨 明 。
cuv,1107,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,3,PHP-002-023,Philippians 2:23,0.6062951,所 以 ， 我 一 看 出 我 的 事 要 怎 样 了 结 ， 就 盼 望 立 刻 打 发 他 去 ；
cuv,1107,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,4,MAT-010-023,Matthew 10:23,0.603276,有 人 在 这 城 里 逼 迫 你 们 ， 就 逃 到 那 城 里 去 。 我 实 在 告 诉 你 们 ， 以 色 列 的 城 邑 ， 你 们 还 没 有 走 遍 ， 人 子 就 到 了 。
cuv,1107,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,5,2TH-002-007,2 Thessalonians 2:7,0.60206556,因 为 那 不 法 的 隐 意 已 经 发 动 ， 只 是 现 在 有 一 个 拦 阻 的 ， 等 到 那 拦 阻 的 被 除 去 ，
cuv,11116,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,1,ECC-003-007,Ecclesiastes 3:7,0.637738,撕 裂 有 时 ， 缝 补 有 时 ； 静 默 有 时 ， 言 语 有 时 ；
cuv,11116,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,2,PRO-001-027,Proverbs 1:27,0.63163686,惊 恐 临 到 你 们 ， 好 像 狂 风 ； 灾 难 来 到 ， 如 同 暴 风 ； 急 难 痛 苦 临 到 你 们 身 上 。
cuv,11116,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,3,PSA-031-002,Psalms 31:2,0.6288544,求 你 侧 耳 而 听 ， 快 快 救 我 ！ 作 我 坚 固 的 磐 石 ， 拯 救 我 的 保 障 ！
cuv,11116,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,4,2SA-022-005,2 Samuel 22:5,0.6248231,曾 有 死 亡 的 波 浪 环 绕 我 ， 匪 类 的 急 流 使 我 惊 惧 ，
cuv,11116,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,5,LAM-001-020,Lamentations 1:20,0.6239508,耶 和 华 啊 ， 求 你 观 看 ， 因 为 我 在 急 难 中 。 我 心 肠 扰 乱 ； 我 心 在 我 里 面 翻 转 ， 因 我 大 大 悖 逆 。 在 外 ， 刀 剑 使 人 丧 子 ； 在 家 ， 犹 如 死 亡 。
cuv,11280,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,1,2CO-007-004,2 Corinthians 7:4,0.6366507,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,11280,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,2,TIT-003-015,Titus 3:15,0.62260425,同 我 在 一 处 的 人 都 问 你 安 。 请 代 问 那 些 因 有 信 心 爱 我 们 的 人 安 。 愿 恩 惠 常 与 你 们 众 人 同 在 ！
cuv,11280,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,3,ROM-015-024,Romans 15:24,0.6184368,盼 望 从 你 们 那 里 经 过 ， 得 见 你 们 ， 先 与 你 们 彼 此 交 往 ， 心 里 稍 微 满 足 ， 然 後 蒙 你 们 送 行 。
cuv,11280,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,4,1TH-002-017,1 Thessalonians 2:17,0.6181619,弟 兄 们 ， 我 们 暂 时 与 你 们 离 别 ， 是 面 目 离 别 ， 心 里 却 不 离 别 ； 我 们 极 力 的 想 法 子 ， 很 愿 意 见 你 们 的 面 。
cuv,11280,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,5,JER-046-005,Jeremiah 46:5,0.6177157,我 为 何 看 见 他 们 惊 惶 转 身 退 後 呢 ？ 他 们 的 勇 士 打 败 了 ， 急 忙 逃 跑 ， 并 不 回 头 ； 惊 吓 四 围 都 有 ！ 这 是 耶 和 华 说 的 。
cuv,11412,2-llamascope-res-32k,feeling,expressions related to feeling good,1,2CO-009-002,2 Corinthians 9:2,0.6586926,因 为 我 知 道 你 们 乐 意 的 心 ， 常 对 马 其 顿 人 夸 奖 你 们 ， 说 亚 该 亚 人 预 备 好 了 ， 已 经 有 一 年 了 ； 并 且 你 们 的 热 心 激 动 了 许 多 人 。
cuv,11412,2-llamascope-res-32k,feeling,expressions related to feeling good,2,1CO-009-025,1 Corinthians 9:25,0.6461201,凡 较 力 争 胜 的 ， 诸 事 都 有 节 制 ， 他 们 不 过 是 要 得 能 坏 的 冠 冕 ； 我 们 却 是 要 得 不 能 坏 的 冠 冕 。
cuv,11412,2-llamascope-res-32k,feeling,expressions related to feeling good,3,2CO-007-004,2 Corinthians 7:4,0.64502895,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,11412,2-llamascope-res-32k,feeling,expressions related to feeling good,4,TIT-003-008,Titus 3:8,0.6447588,这 话 是 可 信 的 。 我 也 愿 你 把 这 些 事 切 切 实 实 的 讲 明 ， 使 那 些 已 信 神 的 人 留 心 做 正 经 事 业 （ 或 作 ： 留 心 行 善 ） 。 这 都 是 美 事 ， 并 且 与 人 有 益 。
cuv,11412,2-llamascope-res-32k,feeling,expressions related to feeling good,5,2CO-008-022,2 Corinthians 8:22,0.64362544,我 们 又 打 发 一 位 兄 弟 同 去 ； 这 人 的 热 心 ， 我 们 在 许 多 事 上 屡 次 试 验 过 。 现 在 他 因 为 深 信 你 们 ， 就 更 加 热 心 了 。
cuv,1151,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,1,PRO-017-009,Proverbs 17:9,0.61551106,遮 掩 人 过 的 ， 寻 求 人 爱 ； 屡 次 挑 错 的 ， 离 间 密 友 。
cuv,1151,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,2,2PE-002-014,2 Peter 2:14,0.6129434,他 们 满 眼 是 淫 色 （ 原 文 是 淫 妇 ） ， 止 不 住 犯 罪 ， 引 诱 那 心 不 坚 固 的 人 ， 心 中 习 惯 了 贪 婪 ， 正 是 被 咒 诅 的 种 类 。
cuv,1151,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,3,NUM-005-030,Numbers 5:30,0.60693485,或 是 人 生 了 疑 恨 的 心 ， 疑 恨 他 的 妻 ， 就 有 这 疑 恨 的 条 例 。 那 时 他 要 叫 妇 人 站 在 耶 和 华 面 前 ， 祭 司 要 在 他 身 上 照 这 条 例 而 行 。
cuv,1151,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,4,ROM-001-029,Romans 1:29,0.60641265,装 满 了 各 样 不 义 、 邪 恶 、 贪 婪 、 恶 毒 （ 或 作 ： 阴 毒 ） ， 满 心 是 嫉 妒 、 凶 杀 、 争 竞 、 诡 诈 、 毒 恨 ；
cuv,1151,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,5,PRO-007-010,Proverbs 7:10,0.6041442,看 哪 ， 有 一 个 妇 人 来 迎 接 他 ， 是 妓 女 的 打 扮 ， 有 诡 诈 的 心 思 。
cuv,1174,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,1,NUM-004-043,Numbers 4:43,0.564895,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 办 事 的 ， 共 有 三 千 二 百 名 。
cuv,1174,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,2,NUM-004-039,Numbers 4:39,0.5423461,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 办 事 的 ， 共 有 二 千 六 百 三 十 名 。
cuv,1174,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,3,NUM-004-047,Numbers 4:47,0.52056086,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 做 抬 物 之 工 的 ， 共 有 八 千 五 百 八 十 名 。
cuv,1174,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,4,NUM-004-030,Numbers 4:30,0.5201429,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 办 事 的 ， 你 都 要 数 点 。
cuv,1174,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,5,JDG-005-031,Judges 5:31,0.5180507,耶 和 华 啊 ， 愿 你 的 仇 敌 都 这 样 灭 亡 ！ 愿 爱 你 的 人 如 日 头 出 现 ， 光 辉 烈 烈 ！ 这 样 ， 国 中 太 平 四 十 年 。
cuv,11974,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,1,ECC-008-015,Ecclesiastes 8:15,0.6250329,我 就 称 赞 快 乐 ， 原 来 人 在 日 光 之 下 ， 莫 强 如 吃 喝 快 乐 ； 因 为 他 在 日 光 之 下 ， 　 神 赐 他 一 生 的 年 日 ， 要 从 劳 碌 中 ， 时 常 享 受 所 得 的 。
cuv,11974,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,2,PSA-016-009,Psalms 16:9,0.6092124,因 此 ， 我 的 心 欢 喜 ， 我 的 灵 （ 原 文 是 荣 耀 ） 快 乐 ； 我 的 肉 身 也 要 安 然 居 住 。
cuv,11974,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,3,PRO-031-025,Proverbs 31:25,0.60092795,能 力 和 威 仪 是 他 的 衣 服 ； 他 想 到 日 後 的 景 况 就 喜 笑 。
cuv,11974,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,4,2CO-007-004,2 Corinthians 7:4,0.5975431,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,11974,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,5,1KI-010-008,1 Kings 10:8,0.59538436,你 的 臣 子 、 你 的 仆 人 常 侍 立 在 你 面 前 听 你 智 慧 的 话 是 有 福 的 ！
cuv,12255,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,1,ISA-057-010,Isaiah 57:10,0.56864643,你 因 路 远 疲 倦 ， 却 不 说 这 是 枉 然 ； 你 以 为 有 复 兴 之 力 ， 所 以 不 觉 疲 惫 。
cuv,12255,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,2,MAT-015-031,Matthew 15:31,0.55429566,甚 至 众 人 都 希 奇 ； 因 为 看 见 哑 吧 说 话 ， 残 疾 的 痊 愈 ， 瘸 子 行 走 ， 瞎 子 看 见 ， 他 们 就 归 荣 耀 给 以 色 列 的 神 。
cuv,12255,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,3,2CO-006-009,2 Corinthians 6:9,0.54806125,似 乎 不 为 人 所 知 ， 却 是 人 所 共 知 的 ； 似 乎 要 死 ， 却 是 活 着 的 ； 似 乎 受 责 罚 ， 却 是 不 至 丧 命 的 ；
cuv,12255,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,4,2CO-006-010,2 Corinthians 6:10,0.5424411,似 乎 忧 愁 ， 却 是 常 常 快 乐 的 ； 似 乎 贫 穷 ， 却 是 叫 许 多 人 富 足 的 ； 似 乎 一 无 所 有 ， 却 是 样 样 都 有 的 。
cuv,12255,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,5,1KI-010-007,1 Kings 10:7,0.54144454,我 先 不 信 那 些 话 ， 及 至 我 来 亲 眼 见 了 才 知 道 人 所 告 诉 我 的 还 不 到 一 半 。 你 的 智 慧 和 你 的 福 分 越 过 我 所 听 见 的 风 声 。
cuv,12368,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",1,NUM-005-030,Numbers 5:30,0.62526864,或 是 人 生 了 疑 恨 的 心 ， 疑 恨 他 的 妻 ， 就 有 这 疑 恨 的 条 例 。 那 时 他 要 叫 妇 人 站 在 耶 和 华 面 前 ， 祭 司 要 在 他 身 上 照 这 条 例 而 行 。
cuv,12368,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",2,2KI-020-003,2 Kings 20:3,0.6184636,耶 和 华 啊 ， 求 你 记 念 我 在 你 面 前 怎 样 存 完 全 的 心 ， 按 诚 实 行 事 ， 又 做 你 眼 中 所 看 为 善 的 。 希 西 家 就 痛 哭 了 。
cuv,12368,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",3,AMO-005-001,Amos 5:1,0.6117692,以 色 列 家 啊 ， 要 听 我 为 你 们 所 作 的 哀 歌 ：
cuv,12368,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",4,PSA-143-007,Psalms 143:7,0.6077668,耶 和 华 啊 ， 求 你 速 速 应 允 我 ！ 我 心 神 耗 尽 ！ 不 要 向 我 掩 面 ， 免 得 我 像 那 些 下 坑 的 人 一 样 。
cuv,12368,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",5,EZK-013-021,Ezekiel 13:21,0.6059089,我 也 必 撕 裂 你 们 下 垂 的 头 巾 ， 救 我 百 姓 脱 离 你 们 的 手 ， 不 再 被 猎 取 ， 落 在 你 们 手 中 。 你 们 就 知 道 我 是 耶 和 华 。
