feature_key,feature_id,layer,model_id,source_keyword,explanation,x,y,z,nearest_neighbors
25-llamascope-res-32k:16851,16851,25-llamascope-res-32k,llama3.1-8b,feeling,"mentions of the word ""feeling"" in various contexts",0.6438062787055969,0.7403781414031982,0.19327116012573242,21-llamascope-res-32k:13867 | 30-llamascope-res-32k:27974 | 25-llamascope-res-32k:25894 | 17-llamascope-res-32k:25824 | 26-llamascope-res-32k:12677
14-llamascope-res-32k:30673,30673,14-llamascope-res-32k,llama3.1-8b,feeling, words related to emotions or feelings,0.6052851676940918,0.7793834805488586,0.16183744370937347,31-llamascope-res-32k:2954 | 18-llamascope-res-32k:8128 | 14-llamascope-res-32k:22972 | 12-llamascope-res-32k:18513 | 9-llamascope-res-32k:1069
0-llamascope-res-32k:18908,18908,0-llamascope-res-32k,llama3.1-8b,feeling,words that represent emotions or feelings,0.5974329113960266,0.7801512479782104,0.1855749636888504,31-llamascope-res-32k:2954 | 14-llamascope-res-32k:30673 | 0-llamascope-res-32k:16010 | 18-llamascope-res-32k:8128 | 3-llamascope-res-32k:23361
9-llamascope-res-32k:28668,28668,9-llamascope-res-32k,llama3.1-8b,feeling, expressions of feelings and emotions,0.7125871181488037,0.7015833258628845,0.0006914902478456497,9-llamascope-res-32k:23257 | 28-llamascope-res-32k:28642 | 8-llamascope-res-32k:10541 | 28-llamascope-res-32k:25898 | 19-llamascope-res-32k:29168
18-llamascope-res-32k:8128,8128,18-llamascope-res-32k,llama3.1-8b,feeling,words related to feelings and emotions,0.6275086998939514,0.7650880217552185,0.1444755643606186,28-llamascope-res-32k:25898 | 14-llamascope-res-32k:30673 | 19-llamascope-res-32k:29168 | 28-llamascope-res-32k:32431 | 12-llamascope-res-32k:18513
17-llamascope-res-32k:10844,10844,17-llamascope-res-32k,llama3.1-8b,feeling,expressions of feelings and emotions,0.7111684679985046,0.7030042409896851,0.004930855240672827,14-llamascope-res-32k:15994 | 17-llamascope-res-32k:7433 | 20-llamascope-res-32k:28937 | 12-llamascope-res-32k:17366 | 23-llamascope-res-32k:17869
3-llamascope-res-32k:16151,16151,3-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotion and feelings,0.7134242653846741,0.7005646228790283,-0.015331108123064041,14-llamascope-res-32k:15994 | 17-llamascope-res-32k:10844 | 20-llamascope-res-32k:28937 | 8-llamascope-res-32k:10541 | 28-llamascope-res-32k:28642
18-llamascope-res-32k:25961,25961,18-llamascope-res-32k,llama3.1-8b,feeling,emotional expressions and sensations,0.7306990027427673,0.6826995015144348,0.0005588718340732157,28-llamascope-res-32k:28642 | 20-llamascope-res-32k:28937 | 12-llamascope-res-32k:17366 | 28-llamascope-res-32k:25898 | 22-llamascope-res-32k:21930
19-llamascope-res-32k:8917,8917,19-llamascope-res-32k,llama3.1-8b,feeling, expressions of feeling or emotional states,0.7014416456222534,0.7118504047393799,0.0353366993367672,9-llamascope-res-32k:23257 | 23-llamascope-res-32k:17869 | 19-llamascope-res-32k:29168 | 21-llamascope-res-32k:4662 | 9-llamascope-res-32k:28668
30-llamascope-res-32k:27930,27930,30-llamascope-res-32k,llama3.1-8b,feeling,terms related to emotional or physical feelings,0.659964382648468,0.7331258058547974,0.1642359346151352,14-llamascope-res-32k:30673 | 29-llamascope-res-32k:9177 | 30-llamascope-res-32k:11280 | 31-llamascope-res-32k:2954 | 27-llamascope-res-32k:31126
3-llamascope-res-32k:20273,20273,3-llamascope-res-32k,llama3.1-8b,feeling," expressions of emotional states, particularly related to feeling or emotional experiences",0.6853156685829163,0.7233365774154663,0.08441930264234543,26-llamascope-res-32k:16773 | 23-llamascope-res-32k:17869 | 9-llamascope-res-32k:23257 | 2-llamascope-res-32k:22916 | 2-llamascope-res-32k:3693
13-llamascope-res-32k:26998,26998,13-llamascope-res-32k,llama3.1-8b,feeling, expressions describing experiences or sensations,0.68824303150177,0.7164023518562317,0.11440820246934891,23-llamascope-res-32k:17869 | 17-llamascope-res-32k:25824 | 21-llamascope-res-32k:4662 | 2-llamascope-res-32k:3693 | 25-llamascope-res-32k:14428
27-llamascope-res-32k:25576,25576,27-llamascope-res-32k,llama3.1-8b,feeling,emotional and subjective expressions of feeling or quality,0.7356684803962708,0.6748719811439514,0.05778934434056282,28-llamascope-res-32k:28642 | 20-llamascope-res-32k:21752 | 23-llamascope-res-32k:17869 | 26-llamascope-res-32k:25965 | 28-llamascope-res-32k:25898
2-llamascope-res-32k:15629,15629,2-llamascope-res-32k,llama3.1-8b,feeling,positive expressions or sentiments about experiences,0.7886760234832764,0.5727535486221313,0.22348061203956604,1-llamascope-res-32k:31512 | 23-llamascope-res-32k:15359 | 2-llamascope-res-32k:3693 | 6-llamascope-res-32k:3377 | 13-llamascope-res-32k:27562
23-llamascope-res-32k:26436,26436,23-llamascope-res-32k,llama3.1-8b,feeling,sentiments related to emotional experiences and personal connections,0.7640143632888794,0.623498260974884,0.1659276932477951,21-llamascope-res-32k:13782 | 25-llamascope-res-32k:25894 | 24-llamascope-res-32k:16941 | 25-llamascope-res-32k:14428 | 30-llamascope-res-32k:11280
10-llamascope-res-32k:25831,25831,10-llamascope-res-32k,llama3.1-8b,feeling," expressions and words associated with feelings of being ""cool"" or enjoyable experiences",0.7257689833641052,0.6057236194610596,0.32612621784210205,14-llamascope-res-32k:27477 | 10-llamascope-res-32k:21957 | 9-llamascope-res-32k:1069 | 1-llamascope-res-32k:31512 | 10-llamascope-res-32k:19244
23-llamascope-res-32k:17869,17869,23-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotions or feelings,0.7225912809371948,0.6899649500846863,0.042546991258859634,2-llamascope-res-32k:3693 | 22-llamascope-res-32k:32342 | 21-llamascope-res-32k:4662 | 17-llamascope-res-32k:10844 | 20-llamascope-res-32k:28937
2-llamascope-res-32k:3693,3693,2-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotions or feelings,0.7292126417160034,0.6840765476226807,0.016974305734038353,23-llamascope-res-32k:17869 | 22-llamascope-res-32k:32342 | 21-llamascope-res-32k:4662 | 20-llamascope-res-32k:28937 | 28-llamascope-res-32k:28642
27-llamascope-res-32k:31126,31126,27-llamascope-res-32k,llama3.1-8b,feeling,body-related sensations or feelings,0.6815752983093262,0.7127476334571838,0.16566795110702515,29-llamascope-res-32k:9177 | 21-llamascope-res-32k:4662 | 30-llamascope-res-32k:27930 | 25-llamascope-res-32k:25894 | 21-llamascope-res-32k:14049
8-llamascope-res-32k:10541,10541,8-llamascope-res-32k,llama3.1-8b,feeling, expressions of emotions and feelings,0.7122880816459656,0.701704740524292,-0.01600503921508789,9-llamascope-res-32k:28668 | 28-llamascope-res-32k:28642 | 4-llamascope-res-32k:10516 | 20-llamascope-res-32k:28937 | 14-llamascope-res-32k:15994
17-llamascope-res-32k:15596,15596,17-llamascope-res-32k,llama3.1-8b,feeling," expressions related to ""sense of"" followed by various emotional or perceptual states",0.6555736064910889,0.7470112442970276,0.11044181138277054,17-llamascope-res-32k:25824 | 26-llamascope-res-32k:16773 | 19-llamascope-res-32k:29168 | 3-llamascope-res-32k:20273 | 17-llamascope-res-32k:14269
29-llamascope-res-32k:19644,19644,29-llamascope-res-32k,llama3.1-8b,feeling,emotional descriptors and adjectives related to feelings and experiences,0.6206075549125671,0.75300532579422,0.21869909763336182,25-llamascope-res-32k:25894 | 14-llamascope-res-32k:30673 | 10-llamascope-res-32k:19244 | 28-llamascope-res-32k:32431 | 19-llamascope-res-32k:29168
9-llamascope-res-32k:23257,23257,9-llamascope-res-32k,llama3.1-8b,feeling, expressions of feeling and emotional states,0.6984284520149231,0.7151251435279846,0.028173264116048813,9-llamascope-res-32k:28668 | 19-llamascope-res-32k:8917 | 20-llamascope-res-32k:28937 | 22-llamascope-res-32k:32342 | 19-llamascope-res-32k:29168
4-llamascope-res-32k:2967,2967,4-llamascope-res-32k,llama3.1-8b,feeling, phrases related to feelings of contentment or satisfaction,0.7357058525085449,0.5940592885017395,0.32531607151031494,2-llamascope-res-32k:3788 | 24-llamascope-res-32k:12255 | 4-llamascope-res-32k:6538 | 4-llamascope-res-32k:26215 | 2-llamascope-res-32k:22799
26-llamascope-res-32k:30221,30221,26-llamascope-res-32k,llama3.1-8b,feeling,emotional experiences and complex feelings,0.7563231587409973,0.6395555734634399,0.13763676583766937,19-llamascope-res-32k:3946 | 24-llamascope-res-32k:18720 | 21-llamascope-res-32k:14049 | 18-llamascope-res-32k:1151 | 25-llamascope-res-32k:25894
14-llamascope-res-32k:27477,27477,14-llamascope-res-32k,llama3.1-8b,feeling, expressions related to experiences and feelings about enjoyment or fun,0.7275673747062683,0.6134321689605713,0.30715903639793396,10-llamascope-res-32k:21957 | 25-llamascope-res-32k:14428 | 13-llamascope-res-32k:26998 | 14-llamascope-res-32k:30673 | 17-llamascope-res-32k:25824
17-llamascope-res-32k:1041,1041,17-llamascope-res-32k,llama3.1-8b,feeling, sentiments related to music and emotional reactions,0.7778629064559937,0.6093687415122986,0.15362033247947693,17-llamascope-res-32k:7433 | 20-llamascope-res-32k:21752 | 17-llamascope-res-32k:10844 | 21-llamascope-res-32k:13782 | 17-llamascope-res-32k:14269
20-llamascope-res-32k:21752,21752,20-llamascope-res-32k,llama3.1-8b,feeling,emotional expressions related to feelings and sentiments,0.727156937122345,0.6788389086723328,0.10208068788051605,28-llamascope-res-32k:25898 | 19-llamascope-res-32k:29168 | 28-llamascope-res-32k:32431 | 20-llamascope-res-32k:28937 | 21-llamascope-res-32k:13782
22-llamascope-res-32k:5614,5614,22-llamascope-res-32k,llama3.1-8b,feeling, phrases expressing emotions or sentiments about situations,0.6050212979316711,0.7713046669960022,0.19758108258247375,3-llamascope-res-32k:23361 | 31-llamascope-res-32k:2954 | 6-llamascope-res-32k:16443 | 18-llamascope-res-32k:22875 | 14-llamascope-res-32k:30673
4-llamascope-res-32k:26763,26763,4-llamascope-res-32k,llama3.1-8b,feeling, feelings of uncertainty or contemplation,0.7607082724571228,0.6450415849685669,0.07241766899824142,20-llamascope-res-32k:19623 | 11-llamascope-res-32k:6107 | 4-llamascope-res-32k:10516 | 2-llamascope-res-32k:3693 | 4-llamascope-res-32k:26215
2-llamascope-res-32k:22799,22799,2-llamascope-res-32k,llama3.1-8b,feeling,phrases relating to experiencing or receiving something enjoyable or special,0.7289552688598633,0.5928822159767151,0.34222057461738586,18-llamascope-res-32k:22875 | 4-llamascope-res-32k:2967 | 14-llamascope-res-32k:27477 | 22-llamascope-res-32k:5614 | 6-llamascope-res-32k:16443
17-llamascope-res-32k:7433,7433,17-llamascope-res-32k,llama3.1-8b,feeling,emotion-related expressions,0.7087021470069885,0.7025511860847473,0.06452147662639618,17-llamascope-res-32k:10844 | 12-llamascope-res-32k:17366 | 20-llamascope-res-32k:21752 | 19-llamascope-res-32k:29168 | 28-llamascope-res-32k:32431
27-llamascope-res-32k:5822,5822,27-llamascope-res-32k,llama3.1-8b,feeling, phrases related to subjective feelings and opinions,0.6229017376899719,0.7495898008346558,0.2238493710756302,21-llamascope-res-32k:13782 | 22-llamascope-res-32k:5614 | 20-llamascope-res-32k:23205 | 10-llamascope-res-32k:19244 | 18-llamascope-res-32k:8128
18-llamascope-res-32k:22875,22875,18-llamascope-res-32k,llama3.1-8b,feeling, phrases indicating a sense of being influenced or affected by various factors or emotions,0.6048257946968079,0.7693586945533752,0.20560403168201447,22-llamascope-res-32k:5614 | 0-llamascope-res-32k:18908 | 31-llamascope-res-32k:2954 | 3-llamascope-res-32k:23361 | 18-llamascope-res-32k:8128
25-llamascope-res-32k:9554,9554,25-llamascope-res-32k,llama3.1-8b,feeling,emotions and sensations associated with warmth and comfort,0.7302853465080261,0.6607723832130432,0.17338746786117554,25-llamascope-res-32k:25894 | 25-llamascope-res-32k:14428 | 29-llamascope-res-32k:9177 | 24-llamascope-res-32k:16941 | 30-llamascope-res-32k:11280
10-llamascope-res-32k:19244,19244,10-llamascope-res-32k,llama3.1-8b,feeling, phrases related to emotional states and experiences,0.6079453229904175,0.7633793354034424,0.21829953789710999,0-llamascope-res-32k:15880 | 9-llamascope-res-32k:1069 | 22-llamascope-res-32k:5614 | 0-llamascope-res-32k:16010 | 6-llamascope-res-32k:16443
23-llamascope-res-32k:31269,31269,23-llamascope-res-32k,llama3.1-8b,feeling, instances of feeling or being alone,0.7111929059028625,0.6972426176071167,0.08976355195045471,23-llamascope-res-32k:17869 | 22-llamascope-res-32k:32342 | 21-llamascope-res-32k:4662 | 29-llamascope-res-32k:14094 | 2-llamascope-res-32k:3693
5-llamascope-res-32k:24019,24019,5-llamascope-res-32k,llama3.1-8b,feeling, evaluations of experiences or feelings,0.73100745677948,0.6675730347633362,0.1413308084011078,25-llamascope-res-32k:25894 | 25-llamascope-res-32k:14428 | 21-llamascope-res-32k:14049 | 13-llamascope-res-32k:27562 | 30-llamascope-res-32k:11280
26-llamascope-res-32k:26763,26763,26-llamascope-res-32k,llama3.1-8b,feeling, sentiments of hope and anticipation,0.7822921276092529,0.6096381545066833,0.12790776789188385,26-llamascope-res-32k:25965 | 28-llamascope-res-32k:28642 | 23-llamascope-res-32k:26436 | 20-llamascope-res-32k:28937 | 22-llamascope-res-32k:32342
31-llamascope-res-32k:2954,2954,31-llamascope-res-32k,llama3.1-8b,feeling, words that express feelings or emotions,0.601396381855011,0.7770081162452698,0.1859591156244278,14-llamascope-res-32k:30673 | 3-llamascope-res-32k:23361 | 0-llamascope-res-32k:18908 | 30-llamascope-res-32k:27974 | 22-llamascope-res-32k:5614
21-llamascope-res-32k:4662,4662,21-llamascope-res-32k,llama3.1-8b,feeling, expressions of emotional or physical sensations,0.7152440547943115,0.6956413984298706,0.06714902818202972,23-llamascope-res-32k:17869 | 20-llamascope-res-32k:28937 | 21-llamascope-res-32k:14049 | 22-llamascope-res-32k:32342 | 2-llamascope-res-32k:3693
1-llamascope-res-32k:12368,12368,1-llamascope-res-32k,llama3.1-8b,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",0.7749348282814026,0.5758577585220337,0.26050707697868347,26-llamascope-res-32k:26763 | 21-llamascope-res-32k:5779 | 31-llamascope-res-32k:2954 | 1-llamascope-res-32k:31512 | 14-llamascope-res-32k:30673
