feature_id,model_id,layer,source_keyword,explanation,exemplar_count,language,rank,pk_id,book_name,chapter,verse,verse_ref,raw_text,score
1041,llama3.1-8b,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,8,cuv,2,1KI-010-007,1 Kings,10,7,1 Kings 10:7,我 先 不 信 那 些 话 ， 及 至 我 来 亲 眼 见 了 才 知 道 人 所 告 诉 我 的 还 不 到 一 半 。 你 的 智 慧 和 你 的 福 分 越 过 我 所 听 见 的 风 声 。,0.63712317
1041,llama3.1-8b,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,8,cuv,3,2CO-002-003,2 Corinthians,2,3,2 Corinthians 2:3,我 曾 把 这 事 写 给 你 们 ， 恐 怕 我 到 的 时 候 ， 应 该 叫 我 快 乐 的 那 些 人 ， 反 倒 叫 我 忧 愁 。 我 也 深 信 ， 你 们 众 人 都 以 我 的 快 乐 为 自 己 的 快 乐 。,0.6369283
10516,llama3.1-8b,4-llamascope-res-32k,feeling,expressions of emotions and feelings,8,cuv,1,2CO-007-004,2 Corinthians,7,4,2 Corinthians 7:4,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。,0.63341576
10516,llama3.1-8b,4-llamascope-res-32k,feeling,expressions of emotions and feelings,8,cuv,2,ROM-001-029,Romans,1,29,Romans 1:29,装 满 了 各 样 不 义 、 邪 恶 、 贪 婪 、 恶 毒 （ 或 作 ： 阴 毒 ） ， 满 心 是 嫉 妒 、 凶 杀 、 争 竞 、 诡 诈 、 毒 恨 ；,0.63056374
10516,llama3.1-8b,4-llamascope-res-32k,feeling,expressions of emotions and feelings,8,cuv,3,2CO-007-011,2 Corinthians,7,11,2 Corinthians 7:11,你 看 ， 你 们 依 着 神 的 意 思 忧 愁 ， 从 此 就 生 出 何 等 的 ? ? 、 自 诉 、 自 恨 、 恐 惧 、 想 念 、 热 心 、 责 罚 （ 或 作 ： 自 责 ） 。 在 这 一 切 事 上 ， 你 们 都 表 明 自 己 是 洁 净 的 。,0.6300026
10541,llama3.1-8b,8-llamascope-res-32k,feeling, expressions of emotions and feelings,8,cuv,1,JOS-010-002,Joshua,10,2,Joshua 10:2,就 甚 惧 怕 ； 因 为 基 遍 是 一 座 大 城 ， 如 都 城 一 般 ， 比 艾 城 更 大 ， 并 且 城 内 的 人 都 是 勇 士 。,0.57297456
10541,llama3.1-8b,8-llamascope-res-32k,feeling, expressions of emotions and feelings,8,cuv,2,EXO-015-009,Exodus,15,9,Exodus 15:9,仇 敌 说 ： 我 要 追 赶 ， 我 要 追 上 ； 我 要 分 掳 物 ， 我 要 在 他 们 身 上 称 我 的 心 愿 。 我 要 拔 出 刀 来 ， 亲 手 杀 灭 他 们 。,0.56965435
10541,llama3.1-8b,8-llamascope-res-32k,feeling, expressions of emotions and feelings,8,cuv,3,JDG-018-009,Judges,18,9,Judges 18:9,他 们 回 答 说 ： 起 来 ， 我 们 上 去 攻 击 他 们 罢 ！ 我 们 已 经 窥 探 那 地 ， 见 那 地 甚 好 。 你 们 为 何 静 坐 不 动 呢 ？ 要 急 速 前 往 得 那 地 为 业 ， 不 可 迟 延 。,0.56775725
1069,llama3.1-8b,9-llamascope-res-32k,feeling, words related to emotions or states of being,8,cuv,1,NUM-031-030,Numbers,31,30,Numbers 31:30,从 以 色 列 人 的 一 半 之 中 ， 就 是 从 人 口 、 牛 、 驴 、 羊 群 、 各 样 牲 畜 中 ， 每 五 十 取 一 ， 交 给 看 守 耶 和 华 帐 幕 的 利 未 人 。,0.5873282
1069,llama3.1-8b,9-llamascope-res-32k,feeling, words related to emotions or states of being,8,cuv,2,AMO-005-001,Amos,5,1,Amos 5:1,以 色 列 家 啊 ， 要 听 我 为 你 们 所 作 的 哀 歌 ：,0.5842383
1069,llama3.1-8b,9-llamascope-res-32k,feeling, words related to emotions or states of being,8,cuv,3,JDG-005-009,Judges,5,9,Judges 5:9,我 心 倾 向 以 色 列 的 首 领 ， 他 们 在 民 中 甘 心 牺 牲 自 己 。 你 们 应 当 颂 赞 耶 和 华 ！,0.57259023
10690,llama3.1-8b,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,8,cuv,1,PSA-026-012,Psalms,26,12,Psalms 26:12,我 的 脚 站 在 平 坦 地 方 ； 在 众 会 中 我 要 称 颂 耶 和 华 ！,0.5773938
10690,llama3.1-8b,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,8,cuv,2,PSA-107-032,Psalms,107,32,Psalms 107:32,愿 他 们 在 民 的 会 中 尊 崇 他 ， 在 长 老 的 位 上 赞 美 他 ！,0.5737449
10690,llama3.1-8b,29-llamascope-res-32k,sentiment,emotions and sentiments expressed in various contexts,8,cuv,3,1SA-012-007,1 Samuel,12,7,1 Samuel 12:7,现 在 你 们 要 站 住 ， 等 我 在 耶 和 华 面 前 对 你 们 讲 论 耶 和 华 向 你 们 和 你 们 列 祖 所 行 一 切 公 义 的 事 。,0.56930536
10844,llama3.1-8b,17-llamascope-res-32k,feeling,expressions of feelings and emotions,8,cuv,1,2JN-001-012,2 John,1,12,2 John 1:12,我 还 有 许 多 事 要 写 给 你 们 ， 却 不 愿 意 用 纸 墨 写 出 来 ， 但 盼 望 到 你 们 那 里 ， 与 你 们 当 面 谈 论 ， 使 你 们 的 喜 乐 满 足 。,0.6291829
10844,llama3.1-8b,17-llamascope-res-32k,feeling,expressions of feelings and emotions,8,cuv,2,2CO-007-004,2 Corinthians,7,4,2 Corinthians 7:4,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。,0.6280932
10844,llama3.1-8b,17-llamascope-res-32k,feeling,expressions of feelings and emotions,8,cuv,3,2TI-001-004,2 Timothy,1,4,2 Timothy 1:4,记 念 你 的 眼 泪 ， 昼 夜 切 切 的 想 要 见 你 ， 好 叫 我 满 心 快 乐 。,0.6190251
1107,llama3.1-8b,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,8,cuv,1,2TI-004-007,2 Timothy,4,7,2 Timothy 4:7,那 美 好 的 仗 我 已 经 打 过 了 ， 当 跑 的 路 我 已 经 跑 尽 了 ， 所 信 的 道 我 已 经 守 住 了 。,0.62257534
1107,llama3.1-8b,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,8,cuv,2,HEB-004-012,Hebrews,4,12,Hebrews 4:12,神 的 道 是 活 泼 的 ， 是 有 功 效 的 ， 比 一 切 两 刃 的 剑 更 快 ， 甚 至 魂 与 灵 ， 骨 节 与 骨 髓 ， 都 能 刺 入 、 剖 开 ， 连 心 中 的 思 念 和 主 意 都 能 辨 明 。,0.6112194
1107,llama3.1-8b,18-llamascope-res-32k,sentiment, sentiments and emotional states expressed in the text,8,cuv,3,PHP-002-023,Philippians,2,23,Philippians 2:23,所 以 ， 我 一 看 出 我 的 事 要 怎 样 了 结 ， 就 盼 望 立 刻 打 发 他 去 ；,0.6062951
11116,llama3.1-8b,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,8,cuv,1,ECC-003-007,Ecclesiastes,3,7,Ecclesiastes 3:7,撕 裂 有 时 ， 缝 补 有 时 ； 静 默 有 时 ， 言 语 有 时 ；,0.637738
11116,llama3.1-8b,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,8,cuv,2,PRO-001-027,Proverbs,1,27,Proverbs 1:27,惊 恐 临 到 你 们 ， 好 像 狂 风 ； 灾 难 来 到 ， 如 同 暴 风 ； 急 难 痛 苦 临 到 你 们 身 上 。,0.63163686
11116,llama3.1-8b,15-llamascope-res-32k,feeling,emotions and states of being related to frustration or dissatisfaction,8,cuv,3,PSA-031-002,Psalms,31,2,Psalms 31:2,求 你 侧 耳 而 听 ， 快 快 救 我 ！ 作 我 坚 固 的 磐 石 ， 拯 救 我 的 保 障 ！,0.6288544
11280,llama3.1-8b,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,8,cuv,1,2CO-007-004,2 Corinthians,7,4,2 Corinthians 7:4,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。,0.6366507
11280,llama3.1-8b,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,8,cuv,2,TIT-003-015,Titus,3,15,Titus 3:15,同 我 在 一 处 的 人 都 问 你 安 。 请 代 问 那 些 因 有 信 心 爱 我 们 的 人 安 。 愿 恩 惠 常 与 你 们 众 人 同 在 ！,0.62260425
11280,llama3.1-8b,30-llamascope-res-32k,feeling,emotions and feelings associated with experiences,8,cuv,3,ROM-015-024,Romans,15,24,Romans 15:24,盼 望 从 你 们 那 里 经 过 ， 得 见 你 们 ， 先 与 你 们 彼 此 交 往 ， 心 里 稍 微 满 足 ， 然 後 蒙 你 们 送 行 。,0.6184368
11412,llama3.1-8b,2-llamascope-res-32k,feeling,expressions related to feeling good,8,cuv,1,2CO-009-002,2 Corinthians,9,2,2 Corinthians 9:2,因 为 我 知 道 你 们 乐 意 的 心 ， 常 对 马 其 顿 人 夸 奖 你 们 ， 说 亚 该 亚 人 预 备 好 了 ， 已 经 有 一 年 了 ； 并 且 你 们 的 热 心 激 动 了 许 多 人 。,0.6586926
11412,llama3.1-8b,2-llamascope-res-32k,feeling,expressions related to feeling good,8,cuv,2,1CO-009-025,1 Corinthians,9,25,1 Corinthians 9:25,凡 较 力 争 胜 的 ， 诸 事 都 有 节 制 ， 他 们 不 过 是 要 得 能 坏 的 冠 冕 ； 我 们 却 是 要 得 不 能 坏 的 冠 冕 。,0.6461201
11412,llama3.1-8b,2-llamascope-res-32k,feeling,expressions related to feeling good,8,cuv,3,2CO-007-004,2 Corinthians,7,4,2 Corinthians 7:4,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。,0.64502895
1151,llama3.1-8b,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,8,cuv,1,PRO-017-009,Proverbs,17,9,Proverbs 17:9,遮 掩 人 过 的 ， 寻 求 人 爱 ； 屡 次 挑 错 的 ， 离 间 密 友 。,0.61551106
1151,llama3.1-8b,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,8,cuv,2,2PE-002-014,2 Peter,2,14,2 Peter 2:14,他 们 满 眼 是 淫 色 （ 原 文 是 淫 妇 ） ， 止 不 住 犯 罪 ， 引 诱 那 心 不 坚 固 的 人 ， 心 中 习 惯 了 贪 婪 ， 正 是 被 咒 诅 的 种 类 。,0.6129434
1151,llama3.1-8b,18-llamascope-res-32k,feeling,complex emotional and psychological experiences,8,cuv,3,NUM-005-030,Numbers,5,30,Numbers 5:30,或 是 人 生 了 疑 恨 的 心 ， 疑 恨 他 的 妻 ， 就 有 这 疑 恨 的 条 例 。 那 时 他 要 叫 妇 人 站 在 耶 和 华 面 前 ， 祭 司 要 在 他 身 上 照 这 条 例 而 行 。,0.60693485
1174,llama3.1-8b,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,8,cuv,1,NUM-004-043,Numbers,4,43,Numbers 4:43,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 办 事 的 ， 共 有 三 千 二 百 名 。,0.564895
1174,llama3.1-8b,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,8,cuv,2,NUM-004-039,Numbers,4,39,Numbers 4:39,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 办 事 的 ， 共 有 二 千 六 百 三 十 名 。,0.5423461
1174,llama3.1-8b,31-llamascope-res-32k,sentiment,descriptive emotional states or sentiments,8,cuv,3,NUM-004-047,Numbers,4,47,Numbers 4:47,从 三 十 岁 直 到 五 十 岁 ， 凡 前 来 任 职 、 在 会 幕 里 做 抬 物 之 工 的 ， 共 有 八 千 五 百 八 十 名 。,0.52056086
11974,llama3.1-8b,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,8,cuv,1,ECC-008-015,Ecclesiastes,8,15,Ecclesiastes 8:15,我 就 称 赞 快 乐 ， 原 来 人 在 日 光 之 下 ， 莫 强 如 吃 喝 快 乐 ； 因 为 他 在 日 光 之 下 ， 　 神 赐 他 一 生 的 年 日 ， 要 从 劳 碌 中 ， 时 常 享 受 所 得 的 。,0.6250329
11974,llama3.1-8b,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,8,cuv,2,PSA-016-009,Psalms,16,9,Psalms 16:9,因 此 ， 我 的 心 欢 喜 ， 我 的 灵 （ 原 文 是 荣 耀 ） 快 乐 ； 我 的 肉 身 也 要 安 然 居 住 。,0.6092124
11974,llama3.1-8b,3-llamascope-res-32k,sentiment, expressions of sentiment or emotional reflections,8,cuv,3,PRO-031-025,Proverbs,31,25,Proverbs 31:25,能 力 和 威 仪 是 他 的 衣 服 ； 他 想 到 日 後 的 景 况 就 喜 笑 。,0.60092795
12255,llama3.1-8b,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,8,cuv,1,ISA-057-010,Isaiah,57,10,Isaiah 57:10,你 因 路 远 疲 倦 ， 却 不 说 这 是 枉 然 ； 你 以 为 有 复 兴 之 力 ， 所 以 不 觉 疲 惫 。,0.56864643
12255,llama3.1-8b,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,8,cuv,2,MAT-015-031,Matthew,15,31,Matthew 15:31,甚 至 众 人 都 希 奇 ； 因 为 看 见 哑 吧 说 话 ， 残 疾 的 痊 愈 ， 瘸 子 行 走 ， 瞎 子 看 见 ， 他 们 就 归 荣 耀 给 以 色 列 的 神 。,0.55429566
12255,llama3.1-8b,24-llamascope-res-32k,feeling, words associated with feelings of joy and satisfaction,8,cuv,3,2CO-006-009,2 Corinthians,6,9,2 Corinthians 6:9,似 乎 不 为 人 所 知 ， 却 是 人 所 共 知 的 ； 似 乎 要 死 ， 却 是 活 着 的 ； 似 乎 受 责 罚 ， 却 是 不 至 丧 命 的 ；,0.54806125
12368,llama3.1-8b,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",8,cuv,1,NUM-005-030,Numbers,5,30,Numbers 5:30,或 是 人 生 了 疑 恨 的 心 ， 疑 恨 他 的 妻 ， 就 有 这 疑 恨 的 条 例 。 那 时 他 要 叫 妇 人 站 在 耶 和 华 面 前 ， 祭 司 要 在 他 身 上 照 这 条 例 而 行 。,0.62526864
12368,llama3.1-8b,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",8,cuv,2,2KI-020-003,2 Kings,20,3,2 Kings 20:3,耶 和 华 啊 ， 求 你 记 念 我 在 你 面 前 怎 样 存 完 全 的 心 ， 按 诚 实 行 事 ， 又 做 你 眼 中 所 看 为 善 的 。 希 西 家 就 痛 哭 了 。,0.6184636
12368,llama3.1-8b,1-llamascope-res-32k,feeling,"the word ""hope"" indicating feelings of optimism or aspiration",8,cuv,3,AMO-005-001,Amos,5,1,Amos 5:1,以 色 列 家 啊 ， 要 听 我 为 你 们 所 作 的 哀 歌 ：,0.6117692
12447,llama3.1-8b,21-llamascope-res-32k,feeling, references to emotional experiences and thoughts related to relief and accountability,8,cuv,1,JHN-016-033,John,16,33,John 16:33,我 将 这 些 事 告 诉 你 们 ， 是 要 叫 你 们 在 我 里 面 有 平 安 。 在 世 上 ， 你 们 有 苦 难 ； 但 你 们 可 以 放 心 ， 我 已 经 胜 了 世 界 。,0.6857257
12447,llama3.1-8b,21-llamascope-res-32k,feeling, references to emotional experiences and thoughts related to relief and accountability,8,cuv,2,2CO-001-006,2 Corinthians,1,6,2 Corinthians 1:6,我 们 受 患 难 呢 ， 是 为 叫 你 们 得 安 慰 ， 得 拯 救 ； 我 们 得 安 慰 呢 ， 也 是 为 叫 你 们 得 安 慰 ； 这 安 慰 能 叫 你 们 忍 受 我 们 所 受 的 那 样 苦 楚 。,0.66368306
12447,llama3.1-8b,21-llamascope-res-32k,feeling, references to emotional experiences and thoughts related to relief and accountability,8,cuv,3,JOB-030-025,Job,30,25,Job 30:25,人 遭 难 ， 我 岂 不 为 他 哭 泣 呢 ？ 人 穷 乏 ， 我 岂 不 为 他 忧 愁 呢 ？,0.6605112
12677,llama3.1-8b,26-llamascope-res-32k,feeling,"instances of the phrase ""feel like"" indicating emotional states or perceptions",8,cuv,1,1TI-005-013,1 Timothy,5,13,1 Timothy 5:13,并 且 他 们 又 习 惯 懒 惰 ， 挨 家 ? 游 ； 不 但 是 懒 惰 ， 又 说 长 道 短 ， 好 管 ? 事 ， 说 些 不 当 说 的 话 。,0.61716455
12677,llama3.1-8b,26-llamascope-res-32k,feeling,"instances of the phrase ""feel like"" indicating emotional states or perceptions",8,cuv,2,ACT-019-032,Acts,19,32,Acts 19:32,聚 集 的 人 纷 纷 乱 乱 ， 有 喊 叫 这 个 的 ， 有 喊 叫 那 个 的 ， 大 半 不 知 道 是 为 甚 麽 聚 集 。,0.6148709
12677,llama3.1-8b,26-llamascope-res-32k,feeling,"instances of the phrase ""feel like"" indicating emotional states or perceptions",8,cuv,3,HEB-005-011,Hebrews,5,11,Hebrews 5:11,论 到 麦 基 洗 德 ， 我 们 有 好 些 话 ， 并 且 难 以 解 明 ， 因 为 你 们 听 不 进 去 。,0.6132153
12717,llama3.1-8b,14-llamascope-res-32k,sentiment,significant sentiment expressions and emotional tones,8,cuv,1,2CO-006-009,2 Corinthians,6,9,2 Corinthians 6:9,似 乎 不 为 人 所 知 ， 却 是 人 所 共 知 的 ； 似 乎 要 死 ， 却 是 活 着 的 ； 似 乎 受 责 罚 ， 却 是 不 至 丧 命 的 ；,0.6407019
12717,llama3.1-8b,14-llamascope-res-32k,sentiment,significant sentiment expressions and emotional tones,8,cuv,2,2CO-002-005,2 Corinthians,2,5,2 Corinthians 2:5,若 有 叫 人 忧 愁 的 ， 他 不 但 叫 我 忧 愁 ， 也 是 叫 你 们 众 人 有 几 分 忧 愁 。 我 说 几 分 ， 恐 怕 说 得 太 重 。,0.6254289
12717,llama3.1-8b,14-llamascope-res-32k,sentiment,significant sentiment expressions and emotional tones,8,cuv,3,2CO-006-010,2 Corinthians,6,10,2 Corinthians 6:10,似 乎 忧 愁 ， 却 是 常 常 快 乐 的 ； 似 乎 贫 穷 ， 却 是 叫 许 多 人 富 足 的 ； 似 乎 一 无 所 有 ， 却 是 样 样 都 有 的 。,0.61696213
12799,llama3.1-8b,31-llamascope-res-32k,sentiment, expressions of emotion or sentiment,8,cuv,1,ACT-004-009,Acts,4,9,Acts 4:9,治 民 的 官 府 和 长 老 阿 ， 倘 若 今 日 因 为 在 残 疾 人 身 上 所 行 的 善 事 查 问 我 们 他 是 怎 麽 得 了 痊 愈 ，,0.56415254
12799,llama3.1-8b,31-llamascope-res-32k,sentiment, expressions of emotion or sentiment,8,cuv,2,2SA-019-009,2 Samuel,19,9,2 Samuel 19:9,以 色 列 众 支 派 的 人 纷 纷 议 论 说 ： 王 曾 救 我 们 脱 离 仇 敌 的 手 ， 又 救 我 们 脱 离 非 利 士 人 的 手 ， 现 在 他 躲 避 押 沙 龙 逃 走 了 。,0.554955
12799,llama3.1-8b,31-llamascope-res-32k,sentiment, expressions of emotion or sentiment,8,cuv,3,ISA-051-005,Isaiah,51,5,Isaiah 51:5,我 的 公 义 临 近 ； 我 的 救 恩 发 出 。 我 的 膀 臂 要 审 判 万 民 ； 海 岛 都 要 等 候 我 ， 倚 赖 我 的 膀 臂 。,0.5542996
13363,llama3.1-8b,26-llamascope-res-32k,sentiment, expressions of emotion and sentiment,8,cuv,1,NUM-005-030,Numbers,5,30,Numbers 5:30,或 是 人 生 了 疑 恨 的 心 ， 疑 恨 他 的 妻 ， 就 有 这 疑 恨 的 条 例 。 那 时 他 要 叫 妇 人 站 在 耶 和 华 面 前 ， 祭 司 要 在 他 身 上 照 这 条 例 而 行 。,0.61226916
13363,llama3.1-8b,26-llamascope-res-32k,sentiment, expressions of emotion and sentiment,8,cuv,2,JER-030-017,Jeremiah,30,17,Jeremiah 30:17,耶 和 华 说 ： 我 必 使 你 痊 愈 ， 医 好 你 的 伤 痕 ， 都 因 人 称 你 为 被 赶 散 的 ， 说 ： 这 是 锡 安 ， 无 人 来 探 问 （ 或 译 ： 理 会 ） 的 ！,0.608696
13363,llama3.1-8b,26-llamascope-res-32k,sentiment, expressions of emotion and sentiment,8,cuv,3,PSA-031-013,Psalms,31,13,Psalms 31:13,我 听 见 了 许 多 人 的 谗 谤 ， 四 围 都 是 惊 吓 ； 他 们 一 同 商 议 攻 击 我 的 时 候 ， 就 图 谋 要 害 我 的 性 命 。,0.6053611
13536,llama3.1-8b,7-llamascope-res-32k,feeling,sentiments and characteristics related to emotional depth and sensitivity,8,cuv,1,GAL-005-023,Galatians,5,23,Galatians 5:23,温 柔 、 节 制 。 这 样 的 事 没 有 律 法 禁 止 。,0.60161513
13536,llama3.1-8b,7-llamascope-res-32k,feeling,sentiments and characteristics related to emotional depth and sensitivity,8,cuv,2,PSA-067-001,Psalms,67,1,Psalms 67:1,（ 一 篇 诗 歌 ， 交 与 伶 长 。 用 丝 弦 的 乐 器 。 ） 愿 　 神 怜 悯 我 们 ， 赐 福 与 我 们 ， 用 脸 光 照 我 们 ， （ 细 拉 ）,0.58258283
13536,llama3.1-8b,7-llamascope-res-32k,feeling,sentiments and characteristics related to emotional depth and sensitivity,8,cuv,3,EXO-035-035,Exodus,35,35,Exodus 35:35,耶 和 华 使 他 们 的 心 满 有 智 慧 ， 能 做 各 样 的 工 ， 无 论 是 雕 刻 的 工 ， 巧 匠 的 工 ， 用 蓝 色 、 紫 色 、 朱 红 色 线 ， 和 细 麻 、 绣 花 的 工 ， 并 机 匠 的 工 ， 他 们 都 能 做 ， 也 能 想 出 奇 巧 的 工 。,0.5795908
13687,llama3.1-8b,19-llamascope-res-32k,feeling, sentiments related to gratitude and appreciation,8,cuv,1,GAL-004-018,Galatians,4,18,Galatians 4:18,在 善 事 上 ， 常 用 热 心 待 人 原 是 好 的 ， 却 不 单 我 与 你 们 同 在 的 时 候 才 这 样 。,0.62841916
13687,llama3.1-8b,19-llamascope-res-32k,feeling, sentiments related to gratitude and appreciation,8,cuv,2,1TI-004-008,1 Timothy,4,8,1 Timothy 4:8,操 练 身 体 ， 益 处 还 少 ； 惟 独 敬 虔 ， 凡 事 都 有 益 处 ， 因 有 今 生 和 来 生 的 应 许 。,0.62256217
13687,llama3.1-8b,19-llamascope-res-32k,feeling, sentiments related to gratitude and appreciation,8,cuv,3,JHN-016-033,John,16,33,John 16:33,我 将 这 些 事 告 诉 你 们 ， 是 要 叫 你 们 在 我 里 面 有 平 安 。 在 世 上 ， 你 们 有 苦 难 ； 但 你 们 可 以 放 心 ， 我 已 经 胜 了 世 界 。,0.62216306
13782,llama3.1-8b,21-llamascope-res-32k,feeling, emotions and sentiments related to experiences and opinions,8,cuv,1,EXO-031-005,Exodus,31,5,Exodus 31:5,又 能 刻 宝 石 ， 可 以 镶 嵌 ， 能 雕 刻 木 头 ， 能 做 各 样 的 工 。,0.56827277
13782,llama3.1-8b,21-llamascope-res-32k,feeling, emotions and sentiments related to experiences and opinions,8,cuv,2,ISA-004-006,Isaiah,4,6,Isaiah 4:6,必 有 亭 子 ， 白 日 可 以 得 荫 避 暑 ， 也 可 以 作 为 藏 身 之 处 ， 躲 避 狂 风 暴 雨 。,0.5651614
13782,llama3.1-8b,21-llamascope-res-32k,feeling, emotions and sentiments related to experiences and opinions,8,cuv,3,DEU-003-005,Deuteronomy,3,5,Deuteronomy 3:5,这 些 城 都 有 坚 固 的 高 墙 ， 有 门 有 闩 。 此 外 还 有 许 多 无 城 墙 的 乡 村 。,0.559966
